sampler,benchmark,subset,dir_idx,P1,delta_alpha_dead_norm_sq,delta_alpha_dead_max,is_revival
asbs,w5,S4,25,0.004241079173855723,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S4,26,0.001253989331748926,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,27,0.002775369248167408,0.0,0.0,False
asbs,w5,S4,28,0.028024342927234103,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,29,0.007455138721226831,1.3000000652857148e-07,0.0003000000142492354,False
asbs,w5,S4,30,0.0037615814483560827,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S4,31,0.028344410994850477,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S4,32,0.010649703503432648,0.0,0.0,False
asbs,w5,S4,33,0.0010563498775245535,0.0,0.0,False
asbs,w5,S4,34,0.007216745774254378,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,35,0.005540662713439815,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,36,0.0084299145408404,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S4,37,0.011147671074793152,1.5999999191612015e-07,0.00039999998989515007,False
asbs,w5,S4,38,0.024691900965422973,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,39,0.022955914540851153,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,40,0.023446483588028057,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,41,0.0027624654398332497,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,42,0.0020313079282686885,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,43,0.005831597272960153,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,44,0.012938245622262912,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,45,0.004636538264102001,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,46,0.0004453338877317492,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,47,0.011998268266013839,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,48,0.0068161189949914845,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,49,0.0010211834830342922,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S4,50,0.005085339085172564,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,51,0.003465344575976815,0.0,0.0,False
asbs,w5,S4,52,0.001465333108907089,0.0,0.0,False
asbs,w5,S4,53,0.0021225119150417413,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,54,0.0007503725942515303,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,55,0.0011563318488915684,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,56,0.003990647223365159,1.3000000652857148e-07,0.0003000000142492354,False
asbs,w5,S4,57,0.0008365544566531753,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S4,58,0.006644244285760578,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,59,0.0015915149502252462,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,60,0.0024952925104344105,1.3000000652857148e-07,0.0003000000142492354,False
asbs,w5,S4,61,0.0006929601394222118,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,62,0.001309883721440201,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S4,63,0.0006572618297177542,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,64,0.0018091355943647613,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,65,0.0027866760895403787,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,66,0.019305525624728034,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,67,0.029902331044188032,0.0,0.0,False
asbs,w5,S4,68,0.003525661800416856,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S4,69,0.0010203467559604178,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,70,0.025729715708112052,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,71,0.002656368601060876,5.999999696854506e-08,0.00019999999494757503,False
asbs,w5,S4,72,0.02648202929488798,0.0,0.0,False
asbs,w5,S4,73,0.0029446175531165865,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,74,0.015872279168738714,0.0,0.0,False
asbs,w5,S4,75,0.006620641346417869,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,76,0.007241733628408838,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,77,0.009527570599901083,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,78,0.0006254933566042382,5.999999696854506e-08,0.00019999999494757503,False
asbs,w5,S4,79,0.008405810360574834,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S4,80,0.00521720278496332,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,81,0.0012387637671517951,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,82,0.0004901159181790718,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,83,0.02232133238424103,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,84,0.01174178461939664,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,85,0.003912093167607963,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,86,0.003370753438739939,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,87,0.0024324895668632962,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,88,0.0015579847038511617,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,89,0.011703511170784622,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,90,0.005937566683022851,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,91,0.02710873947303844,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,92,0.0016644457511938526,0.0,0.0,False
asbs,w5,S4,93,0.00417343154421792,0.0,0.0,False
asbs,w5,S4,94,0.0002891360619646548,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,95,0.001916249169079947,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,96,0.0102340794532347,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,97,0.0375373386948163,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,98,0.011349250428842425,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,99,0.000624117907848813,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,100,0.001297558352365286,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,101,0.0037115530919352296,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,102,0.012650549790323566,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,103,0.008311533533798866,0.0,0.0,False
asbs,w5,S4,104,0.026881330117870673,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,105,0.004556992129923856,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,106,0.012402239394516073,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,107,0.003592829423839248,0.0,0.0,False
asbs,w5,S4,108,0.002717714108652217,0.0,0.0,False
asbs,w5,S4,109,0.00077223949968743,0.0,0.0,False
asbs,w5,S4,110,0.0037902405454524344,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,111,0.013051795559444145,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,112,0.009696443154964072,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,113,0.008369608358641471,0.0,0.0,False
asbs,w5,S4,114,0.0036303682007701355,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,115,0.007473475463006707,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,116,0.005906153527784227,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,117,0.001758742638906142,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,118,0.0036093686945828265,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,119,0.005132265882508818,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,120,0.0013895488392445259,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,121,0.005900141623980971,0.0,0.0,False
asbs,w5,S4,122,0.0019084821505884974,1.8000001709908288e-07,0.0003000000142492354,False
asbs,w5,S4,123,0.002635560009447545,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,124,0.005233117756584761,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,125,0.007429820445231371,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,126,0.0005804439341063699,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,127,0.0009837597859959715,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,128,0.0017212231945231905,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,129,0.001364256281975031,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,130,0.009828281015154062,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,131,0.002102571981584333,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,132,0.0004925724526092381,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,133,0.009714830159572784,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,134,0.007000262698450342,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,135,0.0028291458476005574,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,136,0.0411900508075214,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,137,0.001918779192382317,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,138,0.009424643775328605,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,139,0.005653981698019379,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,140,0.020953605372244055,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,141,0.017566167981285616,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,142,0.0009672423075098777,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S4,143,0.004957029742536178,0.0,0.0,False
asbs,w5,S4,144,0.0011130870778024472,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,145,0.0017193225799310313,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,146,0.0055372739640661165,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S4,147,0.0013701493279304486,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,148,0.0038592334333297914,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,149,0.003764293263958052,0.0,0.0,False
asbs,w5,S4,150,0.005449790753624256,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,151,0.009828522249596973,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S4,152,0.01863160629784352,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,153,0.0038185644081113424,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S4,154,0.007226467210868577,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,155,0.001608662944151547,1.7999999090563517e-07,0.00039999998989515007,False
asbs,w5,S4,156,0.0012303777419783728,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,157,0.005642743428368704,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,158,0.0029375539135403413,2.500000004656616e-07,0.00039999998989515007,False
asbs,w5,S4,159,0.00818676760586004,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,160,0.0028219075460929163,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,161,0.00844079620615321,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,162,0.00463784817517535,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,163,0.0015892607061759917,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,164,0.019821827677548753,0.0,0.0,False
asbs,w5,S4,165,0.001486874387881471,0.0,0.0,False
asbs,w5,S4,166,0.000528015457807669,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,167,0.0029838305759985815,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,168,0.007536472999289799,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,169,0.0017922902007830998,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,170,0.0016987780442782423,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S4,171,0.0013009087304872082,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,172,0.0006415656583990312,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,173,0.0074106180023472915,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,174,0.006484353372299665,7.999999595806008e-08,0.00019999999494757503,False
asbs,w5,S4,175,0.0007348235420520269,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,176,0.004019126554616832,1.5999999191612015e-07,0.00039999998989515007,False
asbs,w5,S4,177,0.010532800932999634,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,178,0.002087992045990177,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,179,0.001828051839552245,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,180,0.0033175239880438314,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,181,0.001897753641930649,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,182,0.0029846384520451465,0.0,0.0,False
asbs,w5,S4,183,0.001972937100754734,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,184,0.009798169567154218,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,185,0.003747387143444939,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,186,0.0010211513069812099,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,187,0.006491246769758618,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,188,0.0007501858707792053,0.0,0.0,False
asbs,w5,S4,189,0.011832236401974115,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S4,190,0.0008309996638686244,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,191,0.002990655035058808,0.0,0.0,False
asbs,w5,S4,192,0.007293445129154861,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,193,0.007057492440379974,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S4,194,0.021399963228255728,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,195,0.0018711305325205103,0.0,0.0,False
asbs,w5,S4,196,0.02759811653529323,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,197,0.0015278306249392698,2.999999848427253e-08,9.999999747378752e-05,False
asbs,w5,S4,198,0.0016402495653001098,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,199,0.006330575230261274,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S3,0,0.005728496808038472,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S3,1,0.0028503833611794108,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S3,2,0.010205292248072964,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S3,3,0.004985669824208344,9.000000418396698e-08,0.00020000001677544788,False
asbs,w5,S3,4,0.006956611839148536,2.0000001899898124e-07,0.00040000002627493814,False
asbs,w5,S3,5,0.003259879392903258,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S3,6,0.013706066854784694,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S3,7,0.005439086846698956,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S3,8,0.003011076989931098,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S3,9,0.00437086124191228,1.5999999191612015e-07,0.00039999998989515007,False
asbs,w5,S3,10,0.03250669657099024,1.3999999292660514e-07,0.00029999999242136255,False
asbs,w5,S3,11,0.004021322162072466,1.5999999191612015e-07,0.00039999998989515007,False
asbs,w5,S3,12,0.0010510787776938741,8.999999545281759e-08,0.00029999999242136255,False
asbs,w5,S3,13,0.012902073234083218,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S3,14,0.012349939405466102,3.6000003419816575e-07,0.0006000000284984708,False
asbs,w5,S3,15,0.002497073540282145,0.0,0.0,False
asbs,w5,S3,16,0.022665119227164267,8.000000468920947e-08,0.00020000001677544788,False
asbs,w5,S3,17,0.002795004411893842,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S3,18,0.015153939524052475,1.099999944423326e-07,0.00029999999242136255,False
asbs,w5,S3,19,0.004812620824382975,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S3,20,0.005257343018223765,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S3,21,0.016570970081346104,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S3,22,0.012090154588366204,3.69999972574879e-07,0.0005999999775667675,False
asbs,w5,S3,23,0.012414668609821091,2.6000003051944174e-07,0.0005000000310246833,False
asbs,w5,S3,24,0.0014827920641969285,1.7999999090563517e-07,0.00039999998989515007,False
asbs,w5,S3,25,0.001382383217332972,1.4000001475447838e-07,0.0003000000142492354,False
asbs,w5,S3,26,0.0007714988468887896,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S3,27,0.0004505167931274627,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S3,28,0.003372665121109094,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S3,29,0.012138213159844327,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S3,30,0.006974039124893352,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S3,31,0.006427299778801626,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S3,32,0.0018816181715089898,3.2000001293607135e-07,0.00040000002627493814,False
asbs,w5,S3,33,0.004495776779978769,1.7999999090563517e-07,0.00039999998989515007,False
asbs,w5,S3,34,0.002710722395006087,1.0000000804429895e-07,0.0003000000142492354,False
asbs,w5,S3,35,0.01199461746320685,2.8000002223299875e-07,0.0005000000237487257,False
asbs,w5,S3,36,0.010638589214831427,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S3,37,0.002323536879427593,5.000000620493694e-08,0.00020000001677544788,False
asbs,w5,S3,38,0.0070819280299810996,6.000000569969445e-08,0.00020000001677544788,False
